id,features[0],features[1],features[2],features[3],features[4],features[5],features[6],features[7],features[8],features[9]
10,-0.20243667,-0.65111107,-1.3599757,-0.5946867,-0.5310807,-0.16496693,0.014226817,-0.60184324,-0.47950223,0.30134505
20,-0.0653381,-0.5053178,-0.66654825,-0.25793564,-0.4154657,-0.20239802,0.13305865,-0.848207,-0.57464874,0.45481086
30,-0.027058031,-0.6159443,-0.684885,-0.9909077,-0.715361,-1.3180718,0.25041857,-0.37702638,-0.12984647,0.02368403
40,-0.44920644,-0.6018547,-1.0106072,-1.1435826,-0.5756162,-1.0692441,0.33105755,-0.10474471,0.110895194,0.47305456
50,-0.30717954,-0.39723095,-1.396651,-0.9709106,-1.1730968,-0.6975181,0.41373774,-0.52251273,-0.52598375,0.12587897
60,-0.057683744,-0.7365764,-0.65458566,-0.9220852,-0.5587506,-0.5523954,0.25590146,-0.38404685,-0.23608716,0.6642716
70,0.14194037,-0.4058974,-0.939135,-0.8719975,-0.75928926,0.016227879,-0.33045918,-0.9393118,-0.36854407,-0.1863733
80,-0.03789182,-0.798319,-0.7464968,-0.881163,-1.0594673,-0.96022254,0.090749785,-0.35730937,-0.2800669,-0.09581965
90,-0.44610813,-0.7062728,-0.9242264,-0.78349525,-0.63817495,-0.74925405,0.97135293,-0.44007862,-0.41065648,0.30516222
100,-0.20462787,-0.8064125,-0.77639323,-0.4707468,-0.5979924,-0.54253256,0.079015136,-0.7074844,-0.6034952,0.07406015
110,-0.23387036,-0.27124512,-1.4538234,-0.93453175,-0.7754375,-0.31535873,0.2875302,-0.6308623,-0.97493494,0.33489558
120,-0.2572855,-0.32731748,-0.84895974,-0.6297882,-0.5823391,-0.24215937,0.36720157,-0.5204347,-0.505178,0.38675043
130,-0.15752259,-0.7940476,-0.6986183,-0.62634677,-1.2277911,-1.201856,0.23525074,-0.48878333,0.16875154,-0.47952968
140,-0.22734286,-0.6742041,-0.80330974,-0.42058828,-0.2688053,-0.4614804,0.4546146,-0.7541355,-0.3708229,0.9545649
150,-0.18957768,-0.6780562,-1.3388593,-0.81621,-0.7987478,-0.33207175,0.41817176,-0.34409901,-0.57004946,0.65436983
160,-0.03855708,-0.7268171,-0.60190135,-0.44715914,-0.09723574,-0.0476742,-0.14065817,-0.76513004,-0.37362796,0.5073185
170,-0.33079267,-0.53395426,-0.99661297,-0.519478,-0.28466853,-0.313085,0.05657905,-1.1323327,-0.19141808,0.50419265
180,-0.286384,-0.03452465,-1.3238287,-0.6422889,-0.51439023,-0.57937014,0.08396046,-1.0822952,-0.32670256,-0.09211615
190,0.57847154,-1.1565009,-0.66393924,-1.0723922,-0.7408162,-0.72059405,0.313902,-0.49366266,0.13455287,-0.19217002
200,0.169172,-1.2694383,-0.20026883,-0.18534529,-0.59593564,-0.29699808,0.17090487,-0.40396905,-0.92721784,0.527682
210,0.07404117,-0.5974001,-1.1303576,-0.8144542,-0.2369354,-0.5423748,0.18184721,-0.51191694,-0.36132616,-0.0037583595
220,0.30009234,-0.43756482,-0.6377126,-0.40699723,-0.49745488,-0.2159616,-0.18227418,-0.29112923,0.0063099093,-0.4301224
